NOTES;ENGLISH;FRANÇAIS;DEUTSCH;ESPAÑOL;ITALIANO;PORTUGUÊS(BR);РУССКИЙ;POLSKI;JAPANESE;KOREAN (한국어);简体中文;繁體中文;final column.
;I LOVE THIS PLACE#MIGHT GO FISHING IN A MINUTE.;J'ADORE CETTE ÎLE.#ÇA TE DIT DE VENIR PÊCHER#DANS UNE MINUTE ?;ICH LIEBE DIESEN ORT.#ICH KÖNNTE ANGELN GEHEN.;ME ENCANTA ESTE SITIO.#VOY A IR A PESCAR A LA DE YA.;ADORO QUESTO POSTO:#ANDREI DI CORSA A PESCARE.;ADORO ESSE LUGAR.#ACHO QUE VOU PESCAR UM POUCO.;Я ОБОЖАЮ ЭТО МЕСТО#СЕЙЧАС ПОЙДУ ПОРЫБАЧИТЬ.;UWIELBIAM TO MIEJSCE#PÓJŚCIE NA RYBY ZAJMUJE TYLKO CHWILĘ.;このばしょは さいこうさ#つりでも しようかな…;정말 멋진 섬이야.#일 분 정도 낚시라도 하러 갈까?;我喜欢这里。#也许一分钟后我就会去钓鱼。;我喜歡這個地方#也許很快就能釣魚了.;
;HAHA,#I REMEMBER THAT!;HA HA, ÇA ME RAPPELLE#NOTRE RENCONTRE !;HA, DAS VERGESSE#ICH NIEMALS!;¡JA, JA#LO RECUERDO!;AH AH,#RICORDO!;HAHA#EU ME LEMBRO DISSO!;ХА-ХА,#Я ЭТО ЗАПОМНЮ!;HA HA,#PAMIĘTAM TO!;あぁ#それそれ それだよ!;하하,#그래 그랬었지!;哈哈，我还记得！;哈哈,#我記得!;
;BE CAREFUL!;ATTENTION !;PASS AUF!;¡CUIDADO!;FAI ATTENZIONE!;TENHA CUIDADO!;БУДЬ ОСТОРОЖНЕЕ!;OSTROŻNIE!;きをつけな!;조심해!;当心点！;小心!;
;;;;;;;;;;;;;
;THOSE LOOK GREAT ON YOU!;ELLES TE VONT SUPER BIEN !;DIE STEHEN DIR SUPER!;¡TE QUEDAN GUAY!;TI STANNO BENISSIMO!;FICOU ÓTIMO EM VOCÊ!;ОНИ ОТЛИЧНО СИДЯТ НА ТЕБЕ!;ŚWIETNIE LEŻĄ!;よく おにあいだよ!;신발 잘 어울리네!;看起来很适合你！;看起來很適合你!;
;WELCOME TO SNEAKER HUT.#ONLY @ COINS#FOR A PAIR OF FAST SHOES!;BIENVENUE À LA SOLDERIE DES BASKETS.#JE TE FAIS LA PAIRE DE#CHAUSSURES VÉLOCES À @ PIÈCES !;WILLKOMMEN IM SNEAKER-SHOP!#NUR @ MÜNZEN#FÜR SCHNELLE SCHUHE!;ESTO ES LA CHOZA DE ZAPAS.#¡POR SOLO @ MONEDAS,#TENDRÁS CALZADO RÁPIDO!;ECCOTI NEL MIO NEGOZIO DI SCARPE.#SOLO @ MONETE PER#UN BEL PAIO DI SCARPE RAPIDE!;ESTE É O CAFOFO DO TÊNIS.#APENAS @ MOEDAS#POR UM SAPATO VELOZ!;ДОБРО ПОЖАЛОВАТЬ В ОБУВНУЮ ЛАВКУ.#ВСЕГО @ МОНЕТ#ЗА ПАРУ СКОРОСТНЫХ БОТИНОК!;WITAM W CHACIE OBUWNICZEJ.#TYLKO @ MONET(Y)#ZA SZYBKIE BUTY!;スニーカーハットへ ようこそ#ちょう こうそく スニーカーが#たったの @ コインだよ!;운동화 가게에 온 걸 환영해.#신속 신발을 단돈#@ 코인에 판매 중이야!;欢迎来到跑鞋店。#加速鞋只卖@枚硬币！;歡迎來到運動鞋商店.購買加速鞋時!#只接受 @硬幣#;
;THESE BEAUTIFUL SHOES#ARE ALL YOURS!;CES SUBLIMES BASKETS#SONT TOUTES À TOI !;DIESE SCHÖNEN SCHUHE#GEHÖREN DIR!;¡ESTE BONITO CALZADO#ES TODO TUYO!;QUESTE FAVOLOSE SCARPE#SONO TUTTE TUE!;ESTE LINDO CALÇADO#É TODO SEU!;ЭТИ ПРЕКРАСНЫЕ БОТИНКИ#ТЕПЕРЬ ТВОИ!;OTO TWOJE PIĘKNE#NOWE BUTY!;どれも いっきゅうひん だよ#はかなきゃ そんだよ!;이 아름다운 신발들 중에서#원하는 걸 마음껏 골라봐!;这双好看的鞋都归你了！;這雙好看的鞋#是你的了!;
;GOTTA STAY HYDRATED!;IL FAUT TOUJOURS PENSER À S'HYDRATER !;IMMER GENUG WASSER TRINKEN!;¡HAY QUE HIDRATARSE!;DEVO IDRATARMI!;É IMPORTANTE SE#MANTER HIDRATADO!;НУЖНО ПОСТОЯННОЕ УВЛАЖНЕНИЕ!;MUSZĘ DBAĆ O NAWODNIENIE!;みずが へっては いくさは なんちゃら…;신발 상하잖아!;保持水分充足！;注意補水!;
;I'M CALLING THE COPS.;J'APPELLE LES FLICS.;ICH HOL DIE POLIZEI.;VOY A LLAMAR A LA POLI.;IO CHIAMO LA POLIZIA.;VOU CHAMAR A POLÍCIA.;Я ЗВОНЮ В ПОЛИЦИЮ.;DZWONIĘ NA POLICJĘ.;けいさつを よぶぞ!;경찰을 부를 거야.;我叫警察了。;我報警了.;
;;;;;;;;;;;;;
;BACK IN 2 MINUTES...;DE RETOUR DANS 2 MINUTES...;BIN IN 2 MINUTEN WIEDER DA...;VUELVO EN 2 MINUTOS...;TORNO FRA 2 MINUTI...;VOLTO EM 2 MINUTOS...;БУДУ ЧЕРЕЗ 2 МИНУТЫ...;WRACAM ZA 2 MINUTY...;ただいま ふざいに しております…;2분 후에 돌아오겠습니다...;在2分钟内回来……;;
;BCK AIN 22 MNTTS.. .;DR EOOU RT 22 MNTTS...;8II II 2 MMTHN WIHOHK DL. .;VLVO NN 22 MNTOSS...;TRRRNONOFRFR 22MNUUUT.. .;VLT E 22 MINTTS.. .;БДУ ЧЕУРЕ 32 МНУТЬ.. .;WRCMM Z 22 MMMMMNTY.. .;たいま ふいに してます…;에분 22후 다겠습오돌아.. .;在22芬中肉茴莱……;2分鐘內返回…;
;. . .;. . .;. . .;. . .;...;. . .;. . .;. . .;. . .;. . .;…………;22分中內反回...;
;;;;;;;;;;;;…;
;ALWAYS GOOD TO SEE YOU!;ÇA FAISAIT LONGTEMPS !;IMMER GUT, DICH ZU SEHEN!;¡QUÉ BIEN VERTE, COMO SIEMPRE!;VEDERTI È SEMPRE UN PIACERE!;É SEMPRE UM PRAZER TE VER!;ВСЕГДА ПРИЯТНО ПОВИДАТЬСЯ С ТОБОЙ!;ZAWSZE MIŁO CIĘ WIDZIEĆ!;どうもどうも いらっしゃいませ!;언제나 널 만나는 건 반가운 일이지!;很高兴见到你！;;
;FEEL LIKE SPENDING?#@ COINS FOR A BEAUTIFUL HEART!;J'AI UNE BONNE AFFAIRE POUR TOI.#@ PIÈCES POUR UN MAGNIFIQUE COEUR !;WILLST DU WAS KAUFEN?#@ MÜNZEN FÜR EIN SCHÖNES HERZ!;¿QUIERES GASTAR?#¡@ MONEDAS POR UN BONITO CORAZÓN!;SEI IN VENA DI FARE ACQUISTI?#UN BELLISSIMO CUORE PER @ MONETE!;VAMOS GASTAR UM POUCO?#@ MOEDAS POR UM LINDO CORAÇÃO!;ХОЧЕШЬ ПОТРАТИТЬСЯ?#@ МОНЕТ ЗА ЧУДЕСНОЕ СЕРДЦЕ!;MASZ OCHOTĘ COŚ WYDAĆ?#@ MONET(Y) ZA PIĘKNE SERCE!;さいふが はんのう してるって?#うつくしい ハートが たったの @ コイン!;쇼핑을 하고 싶다고?#아름다운 하트 하나가 단돈 @코인에 판매 중이야!;想花钱吗？#@枚硬币就能换颗美丽的心！;非常高興見到你!;
;YES?;OUI ?;JA?;¿HACE?;SÌ?;SIM?;ДА?;TAK?;なんだ?;왜 그래?;要吗？;願意花費?#@硬幣換取一顆美麗的心麼!;
;YOU'RE NOT GETTING A DISCOUNT!;TU N'AURAS PAS DE REMISE !;ES GIBT KEINEN RABATT!;¡NO TE VOY A HACER DESCUENTO!;NON TI FACCIO LO SCONTO!;NADA DE DESCONTO PRA VOCÊ!;ТЫ НЕ ПОЛУЧИШЬ СКИДКУ!;NIE DAM CI RABATU!;にどと わりびきなんか するもんか!;이래도 절대 안 깎아줄 거야!;不会给你打折的！;好麼?;
;ALL YOURS!#ENJOY.;À TA SANTÉ !#MON COEUR EST À TOI !;IST DEINS!#VIEL SPASS DAMIT!;TODO TUYO.#QUE LO DISFRUTES.;È TUTTO TUO!#GODITELO.;É TODO SEU!#PEGUE.;ЗАБИРАЙ!#ПОЛЬЗУЙСЯ!;PROSZĘ BARDZO.#NALEŻY DO CIEBIE!;さぁ もってけ!#まいど おおきに!;마음껏 골라봐!#어서!;都归你了！#享受去吧。;無法得到折扣!;
;;;;;;;;;;;;都屬於你了!#請好好享受.;
;THANKS FRIEND!;MERCI HUIT FOIS !;DANKE, FREUND!;¡GRACIAS, CAMARADA!;GRAZIE MILLE!;OBRIGADO, JOVEM!;СПАСИБО, ДРУЖИЩЕ!;DZIĘKI!;ありがとう わが ともよ!;고마워 친구!;谢谢你，朋友！;謝謝你,朋友!;
;I LOST MY 8 TENTACLES,#CAN YOU HELP ME?#I'M STILL LOOKING FOR @...;J'AI ÉGARÉ MES 8 TENTACULES,#TU VEUX BIEN M'AIDER ?#IL M'EN MANQUE ENCORE @...;ICH HABE MEINE 8 TENTAKEL VERLOREN.#HILFST DU MIR?#ICH SUCHE NOCH @...;HE PERDIDO MIS 8 TENTÁCULOS,#¿PODRÍAS AYUDARME?#AÚN ANDO BUSCANDO @...;HO PERSO I MIEI 8 TENTACOLI,#MI AIUTERESTI?#ME NE MANCANO ANCORA @...;PERDI MEUS 8 TENTÁCULOS,#PODE ME AJUDAR?#AINDA ESTOU PROCURANDO @...;Я ПОТЕРЯЛ СВОИ 8 ЩУПАЛЕЦ,#МОЖЕШЬ ПОМОЧЬ МНЕ?#МНЕ ВСЕ ЕЩЕ НЕ ХВАТАЕТ @...;ZGUBIŁEM MOJE 8 MACEK,#CZY MOŻESZ MI POMÓC?#WCIĄŻ SZUKAM @...;ちょっと たすけてくれないか?#あしを なくしちゃったんだ#まだ @つ たりない...;내 여덟 다리를 잃었어.#날 도와주지 않을래?#아직 @개 부족해...;我丢了8根触手，#你能帮我吗？#还有@根要找……;我失去了8個觸角,#你能幫我麼?#我還在找@...;
;I LOST MY 8 TENTACLES,#CAN YOU HELP ME?;J'AI ÉGARÉ MES 8 TENTACULES,#TU VEUX BIEN M'AIDER ?;ICH HABE MEINE 8 TENTAKEL VERLOREN.#HILFST DU MIR?;HE PERDIDO MIS 8 TENTÁCULOS,#¿PODRÍAS AYUDARME?;HO PERSO I MIEI 8 TENTACOLI,#MI AIUTERESTI?;PERDI MEUS 8 TENTÁCULOS,#PODE ME AJUDAR?;Я ПОТЕРЯЛ СВОИ 8 ЩУПАЛЕЦ,#МОЖЕШЬ ПОМОЧЬ МНЕ?;ZGUBIŁEM MOJE 8 MACEK,#CZY MOŻESZ MI POMÓC?;じまんの 8ぽんあしを なくしてしまった#たすけて くれないか?;내 여덟 다리를 잃었어,#날 도와주지 않을래?;我丢了8根触手，#你能帮我吗？;我失去了8個觸角,#你能幫我麼?;
;WHAT A LIFE!;QUELLE VIE !;WAS FÜR EIN LEBEN!;¡QUÉ VIDA ESTA!;CHE VITA!;QUE VIDA!;ЧТО ЗА ЖИЗНЬ!;CO ZA ŻYCIE!;なんてこった!;아아 인생이란!;人生太苦了！;這就是生活!;
;FOUND ME!#@;TU AS TROUVÉ MA CACHETTE !#@;HAST MICH!#@;¡ME HAS ENCONTRADO!#@;TROVATO!#@;ME ACHOU!#@;ПОПАЛСЯ!#@;UDAŁO CI SIĘ MNIE ZNALEŹĆ!#@;おっとっと! #@;날 찾아냈구나!#@;找到我了！#@;你找到我了!#@;
;;;;;;;;;;;;;
;LEAVE THE PLANTS ALONE!;LAISSE LES ARBRES EN PAIX !;LASS DIE PFLANZEN IN FRIEDEN!;¡DEJA EN PAZ LAS PLANTAS!;LASCIA STARE LE PIANTE!;DEIXE AS PLANTAS EM PAZ!;ОСТАВЬ РАСТЕНИЯ В ПОКОЕ!;ZOSTAW TE ROŚLINY W SPOKOJU!;しょくぶつに てを だすな!;식물들을 건드리지 마!;别碰那些植物！;把褲子留這吧!;
;WHOA!;WAOUH !;BOAH!;¡HEY!;UAAAU!;UHUL!;ВАУ!;JUHUU!;ヒャッハーッ!;야호!;哇喔！;喔!;
;NOT FAIR!;C'EST VRAIMENT TROP INJUSTE !;NEIN, NEIN!;¡NO ES JUSTO!;NON È GIUSTO!;PUXA VIDA!;НЕЧЕСТНО!;TO NIE FAIR!;まじかよ!;불공평해!;不公平！;不公平!;
;HEY!;SALUT !;HE!;¡EH!;EHI!;EI!;ЭЙ!;HEJ!;おっす!;이봐!;嘿！;嗨!;
;;;;;;;;;;;;;
;THIS DUMB DESERT GOES ON FOREVER#AND THERE'S NOTHING THERE!;SALETÉ DE DÉSERT QUI FINIT JAMAIS !#LE SABLE, J'AI PASSÉ L'ÂGE !;DIESE BLÖDE WÜSTE IST EWIG GROSS,#UND DA IST NICHTS!;¡ESTE ESTÚPIDO DESIERTO NO SE ACABA#NUNCA! ¡Y NO HAY NADA!;IN QUESTO STUPIDO DESERTO NON C'È#NIENTE E NON SUCCEDE MAI NIENTE!;ESSE DESERTO IDIOTA NÃO ACABA NUNCA#E NÃO TEM NADA POR AQUI!;ЭТА ДУРАЦКАЯ ПУСТЫНЯ БЕСКОНЕЧНАЯ,#И ТАМ НИЧЕГО НЕТ!;CIĄGLE TYLKO TA GŁUPIA PUSTYNIA!#NIC TAM NIE MA!;どこを みまわしても さばく ばっかり#つまんなすぎて マジもうムリ!;이 깡마른 사막엔#평생 아무것도 없겠지!;这片无声的沙漠永远都是这样，#什么都没有！;這沉默的沙漠永遠都會這樣#這什麼都沒有!;
;WHOA!;WAOUH !;BOAH-EY!;¡HEY!;UAAAU!;UHUL!;ВАУ!;JUHUU!;やっべーっ!;야호!;哇啊！;真棒!;
;NOT COOL!;PAS COOL !;NICHT GEIL!;¿DE QUÉ VAS?;NON È BELLO!;QUE RUDE!;НЕ КРУТО!;NIEFAJNIE!;ちょっ まてよ!;그러지 마!;这不酷！;不好!;
;;;;;;;;;;;;;
;. . .;. . .;. . .;. . .;...;. . .;. . .;. . .;. . .;. . .;…………;…;
;I'M PROUD OF YOU...#YOU DEAL WITH YOUR RESPONSIBILITIES,#BUT ARE NOT SCARED TO HELP OTHERS.#I'M SURE YOU'LL BE FINE!;WAOUH, TU ASSURES...#T'ES UN GÉNIE DE L'EXPLORATION,#ET, EN PLUS, T'AIDES LES GENS.#BRAVO, TU IRAS LOIN !;ICH BIN STOLZ AUF DICH...#DU NIMMST DEINE VERANTWORTUNGEN WAHR,#HAST ABER KEINE ANGST, ANDEREN ZU#HELFEN. AUS DIR WIRD MAL WAS!;MUY BIEN HECHO...#TE OCUPAS DE TUS RESPONSABILIDADES,#PERO NO DUDAS EN AYUDAR A OTROS.#¡TODO TE IRÁ BIEN, SEGURO!;MI RIEMPI DI ORGOGLIO...#TI PRENDI LE TUE RESPONSABILITÀ,#MA AIUTI ANCHE GLI ALTRI.#TE LA CAVERAI SICURAMENTE!;MEUS PARABÉNS...#VOCÊ CUIDA DAS SUAS RESPONSABILIDADES,#MAS NÃO HESITA EM AJUDAR O PRÓXIMO.#VOCÊ VAI SE SAIR MUITO BEM!;Я ГОРЖУСЬ ТОБОЙ...#ТЫ СПРАВЛЯЕШЬСЯ С ОБЯЗАННОСТЯМИ,#НО НЕ БОИШЬСЯ ПОМОГАТЬ ДРУГИМ.#Я ВЕРЮ, У ТЕБЯ ВСЕ БУДЕТ ХОРОШО!;JESTEM Z CIEBIE DUMNY...#ROBISZ, CO DO CIEBIE NALEŻY,#ALE NIE BOISZ SIĘ POMAGAĆ INNYM.#NA PEWNO DASZ SOBIE RADĘ!;ほんとに すごい…#たにんを たすけることを おそれずに#とうとう やりとげて しまうなんて#きみなら きっと だいじょうぶさ!;네가 자랑스럽구나...#맡은 일을 잘 해냈을 뿐만 아니라,#다른 이들도 망설임 없이 도우다니!#네 앞길도 분명 순탄할 거야.;我为你感到骄傲……#虽然你有自己的事要处理，#却没有因此害怕帮助别人。#我相信你会顺顺利利的！;我為你感到驕傲…#你擔負了責任,#還不畏艱險幫助了其他人#我敢保證你一定會很幸福的!;
;;;;;;;;;;;;;
;TOLD YOU THE OASIS WAS FAKE!;ALORS, JE L'AVAIS PAS DIT QUE#CETTE OASIS ÉTAIT UN MIRAGE ?;ICH SAGTE JA, DIE OASE#IST EIN REINFALL!;¡YA TE DIJE QUE EL OASIS ERA FALSO!;TE L'AVEVO DETTO CHE L'OASI ERA FINTA!;EU FALEI QUE O OÁSIS ERA FALSO!;ВОТ ВИДИШЬ, ОАЗИС БЫЛ ВЫДУМКОЙ!;MÓWIŁEM CI, ŻE OAZA TO ŚCIEMA!;ただの ウワサだって いったろ？;오아시스는 가짜라고 말했잖아!;告诉你吧，绿洲是假的！;告訴你吧,綠洲根本不存在!;
;I MAPPED EVERY LOCATION.#THE SWORD-THROWING OASIS GHOST#IS ONLY A RUMOR!;J'AI CARTOGRAPHIÉ LE MONDE ENTIER.#LE FANTÔME LANCEUR D'ÉPÉES DE L'OASIS#EST UNE LÉGENDE !;ICH HABE VON ALLEN ORTEN KARTEN#GEMACHT. DER SCHWERTWURF-OASENGEIST#IST EIN GERÜCHT!;TENGO ESTUDIADA LA ZONA.#EL FANTASMA LANZAESPADAS DEL#OASIS ES UNA LEYENDA.;CONOSCO OGNI CENTIMETRO QUI.#LO SPIRITO LANCIA-SPADE DELL'OASI#È SOLO UNA DICERIA!;EU MAPEEI TODOS OS LOCAIS.#O FANTASMA LANÇA-ESPADAS DO OÁSIS#É SÓ UM BOATO!;ВСЕ МЕСТА ОТМЕЧЕНЫ НА МОИХ КАРТАХ.#МЕТАЮЩИЙ МЕЧИ ПРИЗРАК ОАЗИСА —#ВСЕГО ЛИШЬ ВЫДУМКА!;WSZYSTKIE MIEJSCA SĄ OZNACZONE.#MIOTAJĄCY MIECZAMI DUCH OAZY#TO TYLKO LEGENDA!;ちずを つくっておいた#つるぎを なげてくる ゆうれいが でるっていうのは#ただの ウワサだって!;나는 모든 곳의 지도를 그렸다고.#검을 던진다는 오아시스 유령은#소문에 지나지 않아!;每个地点我都画过地图。#会扔剑的绿洲幽灵只是谣传而已！;我畫出了每一個地點.#會扔劍的綠洲幽靈#根本就是謠傳而已!;
;REFRESHING, THANKS!;RAFRAÎCHISSANT, MERCI !;DANKE, DAS ERFRISCHT!;¡QUÉ GUSTITO, GRACIAS!;RINFRESCANTE, GRAZIE!;REFRESCANTE. VALEU!;ОСВЕЖАЕТ, СПАСИБО!;BARDZO ORZEŹWIAJĄCE. DZIĘKI!;あぁ いきかえる ありがとよ!;시원하네, 고마워!;真爽，谢谢！;真是太爽了,謝謝!;
;I'M NOT A TREE!;J'AI L'AIR D'UN PALMIER ?;ICH BIN DOCH KEIN BAUM!;¡NO SOY UN ÁRBOL!;NON SONO UN ALBERO!;NÃO SOU UMA ÁRVORE!;Я НЕ ДЕРЕВО!;NIE JESTEM DRZEWEM!;しょくぶつじゃ ねーよ!;나는 나무가 아니야!;我不是树！;我不是無堅不摧的!;
;;;;;;;;;;;;;
;FACTORIES ARE BAD;À BAS LES USINES;FABRIKEN SIND SCHLECHT;LAS FÁBRICAS SON MALAS;ABBASSO LE FABBRICHE;AS FÁBRICAS POLUEM;ЗАВОДЫ ПРИНОСЯТ ВРЕД;FABRYKI TO SAMO ZŁO;こうじょう はんたい ダメ ぜったい;공장은 악하다;工厂是坏蛋;工廠不好;
;FAMOUS SIGN MAKER;CÉLÈBRE FABRICANT DE PANNEAUX;BERÜHMTER SCHILDERMACHER;CARTELISTA FAMOSO;FAMOSO PRODUTTORE DI CARTELLI;FAMOSO PLAQUEIRO;ИЗВЕСТНЫЙ ОБОЗНАЧАТЕЛЬ;SŁYNNY SZYLDZIARZ;クチコミ にんき れんぞく いちい;유명한 표지판쟁이;著名的路牌制造所;著名的標誌製造商;
;LOST PERSON#(SOMEONE HELP THEM?);NAUFRAGÉ DU DÉSERT#(QUELQU'UN POUR L'AIDER ?);VERLAUFEN#(HILFT DA MAL JEMAND?);PERSONA DESAPARECIDA#(¿ALGUIEN ECHA UNA MANO?);PERSONA SMARRITA#(QUALCUNO PUÒ AIUTARLA?);PESSOA PERDIDA#(ALGUÉM PODERIA AJUDAR?);ЧЕЛОВЕК ПОТЕРЯЛСЯ#(КТО-НИБУДЬ, ПОМОГИТЕ ЕМУ!);ZAGUBIONA OSOBA#(KTOŚ JEJ POMOŻE?);まよいびと います#(たすけても いいですよ?);길잃은 사람#(아무나 도와주길);迷路的人#（会有人帮他吗？）;迷路的人#(會有人幫他們麼?);
;SECRET TEMPLE;TEMPLE SECRET;GEHEIMER TEMPEL;TEMPLO SECRETO;TEMPIO SEGRETO;TEMPLO SECRETO;ТАИНСТВЕННЫЙ ХРАМ;SEKRETNA ŚWIĄTYNIA;しるひとぞ しる おてらへは こちら;비밀의 사원;神秘寺庙;神秘寺廟;
;SNEAKER HUT;SOLDERIE DES BASKETS;SNEAKER-SHOP;CHOZA DE ZAPAS;NEGOZIO DI SCARPE;CAFOFO DO TÊNIS;ОБУВНАЯ ЛАВКА;CHATA OBUWNICZA;スニーカーハット;운동화 가게;跑鞋店;運動鞋商店;
;RUINS;RUINES;RUINEN;RUINAS;ROVINE;RUÍNAS;РУИНЫ;RUINY;いせき;유적지;废墟;廢墟;
;DESERT CAMPSITE;CAMPEMENT DU DÉSERT;WÜSTEN-LAGERPLATZ;CAMPAMENTO DESIERTO;CAMPEGGIO NEL DESERTO;CAMPING NO DESERTO;ЗАБРОШЕННЫЙ ЛАГЕРЬ;PUSTYNNY OBÓZ;さばくの キャンプじょう;사막 캠프장;沙漠营地;沙漠露營;
;SIGN MAKER#(AWARD-WINNING);FABRICANT DE PANNEAUX#(OSCAR DU MEILLEUR PANNEAU);SCHILDERMACHER#(PREISGEKRÖNT);CARTELISTA#(PREMIADO);(PREMIATA)#PRODUZIONE CARTELLI;PLAQUEIRO#(PREMIADO);ОБОЗНАЧАТЕЛЬ#(УДОСТОЕННЫЙ НАГРАДЫ);SZYLDZIARZ#(LAUREAT NAGRÓD);かんばんや#(ちまたでは とてもゆうめい);표지판쟁이#(상 받은 적 있음);路牌制造所#（获过奖的）;標誌製造商#(獲得獎項);
;AMAZING SIGN MAKER;FABULEUX FABRICANT DE PANNEAUX;KLASSE SCHILDERMACHER;CARTELISTA ALUCINANTE;SENSAZIONALE PRODUZIONE CARTELLI;INCRÍVEL PLAQUEIRO;ВОСХИТИТЕЛЬНЫЙ ОБОЗНАЧАТЕЛЬ;NIESAMOWITY SZYLDZIARZ;すばらしき かんばんや;훌륭한 표지판쟁이;非常厉害的路牌制造所;非常厲害的標誌製造商;
;WARNING:#ENDLESS DESERT;ATTENTION :#DÉSERT SANS FIN;ACHTUNG:#ENDLOSE WÜSTE;ATENCIÓN:#DESIERTO INFINITO;ATTENZIONE:#DESERTO SENZA FINE;AVISO:#DESERTO INFINITO;ОСТОРОЖНО:#БЕСКРАЙНЯЯ ПУСТЫНЯ;UWAGA:#BEZKRESNA PUSTYNIA;けいこく#おわりなき さばく;경고:#끝없는 사막;警告：#无尽的沙漠;警告:#無邊無際的沙漠;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;0% CAPACITY;CAPACITÉ : 0 %;0% KAPAZITÄT;0 % DE CAPACIDAD;CAPACITÀ 0%;0% DA CAPACIDADE;МОЩНОСТЬ 0%;0% WYDAJNOŚCI;あんごう かいじょ：0%;전력 0%;0%功率;容量0%;
;33% CAPACITY;CAPACITÉ : 33 %;33% KAPAZITÄT;33 % DE CAPACIDAD;CAPACITÀ 33%;33% DA CAPACIDADE;МОЩНОСТЬ 33%;33% WYDAJNOŚCI;あんごう かいじょ：33%;전력 33%;33%功率;容量33%;
;66% CAPACITY;CAPACITÉ : 66 %;66% KAPAZITÄT;66 % DE CAPACIDAD;CAPACITÀ 66%;66% DA CAPACIDADE;МОЩНОСТЬ 66%;66% WYDAJNOŚCI;あんごう かいじょ：66%;전력 66%;66%功率;容量66%;
;100% CAPACITY;CAPACITÉ : 100 %;100% KAPAZITÄT;100 % DE CAPACIDAD;CAPACITÀ 100%;100% DA CAPACIDADE;МОЩНОСТЬ 100%;100% WYDAJNOŚCI;あんごう かいじょ：100%;전력 100%;100%功率;容量100%;
;WEST: OK;OUEST : O.K.;WESTEN: OK;OESTE: VALE;OVEST: OK;OESTE: OK;ЗАПАД: ОК;ZACHÓD: GOTOWE;にし：クリア;서쪽: 정상;西：正常;西部:可以;
;WEST: ERROR;OUEST : ERREUR;WESTEN: FEHLER;OESTE: ERROR;OVEST: ERRORE;OESTE: ERRO;ЗАПАД: ОШИБКА;ZACHÓD: BŁĄD;にし：エラー;서쪽: 에러;西：错误;西部:錯誤;
;EAST: OK;EST : O.K.;OSTEN: OK;ESTE: VALE;EST: OK;LESTE: OK;ВОСТОК: ОК;WSCHÓD: GOTOWE;ひがし：クリア;동쪽: 정상;东：正常;東部:可以;
;EAST: ERROR;EST : ERREUR;OSTEN: FEHLER;ESTE: ERROR;EST: ERRORE;LESTE: ERRO;ВОСТОК: ОШИБКА;WSCHÓD: BŁĄD;ひがし：エラー;동쪽: 에러;东：错误;東部:錯誤;
;SOUTH: OK;SUD : O.K.;SÜDEN: OK;SUR: VALE;SUD: OK;SUL: OK;ЮГ: ОК;POŁUDNIE: GOTOWE;みなみ：クリア;남쪽: 정상;南：正常;南部:可以;
;SOUTH: ERROR;SUD : ERREUR;SÜDEN: FEHLER;SUR: ERROR;SUD: ERRORE;SUL: ERRO;ЮГ: ОШИБКА;POŁUDNIE: BŁĄD;みなみ：エラー;남쪽: 에러;南：错误;南部：錯誤;
;;;;;;;;;;;;;
;TERMINAL: OK;TERMINAL : O.K.;TERMINAL: OK;TERMINAL: VALE;TERMINALE: OK;TERMINAL: OK;ТЕРМИНАЛ: ОК;TERMINAL: GOTOWE;パスワード：クリア;터미널: 정상;终端：正常;終端:可以;
;TERMINAL: ERROR;TERMINAL : ERREUR;TERMINAL: FEHLER;TERMINAL: ERROR;TERMINALE: ERRORE;TERMINAL: ERRO;ТЕРМИНАЛ: ОШИБКА;TERMINAL: BŁĄD;パスワード：エラー;터미널: 에러;终端：错误;終端:錯誤;
;;;;;;;;;;;;;
;BLUB;GLOU;BLUB;BLUB;BLUB;BLOB;БУЛЬК;BLUB;ガボッ;보글;咕噜;咕嚕;
;BLAB;GLOU GLOUPS;GLUG;BLAB;BLAB;BLAB;БОЛЬК;BLAB;ゴボッ;부글;咘嚕;咘嚕;
;;;;;;;;;;;;;
;IT'S SAFE ON THE SURFACE?#I'LL GO TO THE HOTEL!;C'EST SANS DANGER À LA SURFACE ?#JE VAIS À L'EAUTEL !;IST ES AN DER OBERFLÄCHE SICHER?#DANN BIN ICH IM HOTEL!;¿TODO SEGURO EN LA SUPERFICIE?#¡IRÉ AL HOTEL!;È SICURO LÌ IN SUPERFICIE?#VADO IN HOTEL!;A SUPERFÍCIE ESTÁ SEGURA?#EU VOU PRO HOTEL!;НА ПОВЕРХНОСТИ БЕЗОПАСНО?#Я ПОЙДУ В ОТЕЛЬ!;NA POWIERZCHNI JEST BEZPIECZNIE?#IDĘ DO HOTELU!;もう あがっても へいきか?#ホテルへ むかおう!;지상이 안전하다고?#호텔로 가야겠네!;上面安全吗？#我会去旅馆的！;上面是否安全呢?#我要去旅館;
;BLAB;GLOU GLOUPS;GLUG;BLAB;BLAB;BLAB;БОЛЬК;BLAB;ゴボッ;부글;咘嚕;咘嚕;
;;;;;;;;;;;;;
